app,approach,run,time_min,coverage_pct
AnyMemo,Monkey,1,0,0.0
AnyMemo,Monkey,1,5,20.56
AnyMemo,Monkey,1,10,32.28
AnyMemo,Monkey,1,15,36.98
AnyMemo,Monkey,1,20,43.04
AnyMemo,Monkey,1,25,43.04
AnyMemo,Monkey,1,30,44.51
AnyMemo,Monkey,1,35,43.93
AnyMemo,Monkey,1,40,41.89
AnyMemo,Monkey,1,45,45.62
AnyMemo,Monkey,1,50,49.61
AnyMemo,Monkey,1,55,47.22
AnyMemo,Monkey,1,60,46.05
AnyMemo,Monkey,2,0,0.0
AnyMemo,Monkey,2,5,17.77
AnyMemo,Monkey,2,10,28.3
AnyMemo,Monkey,2,15,31.05
AnyMemo,Monkey,2,20,37.42
AnyMemo,Monkey,2,25,38.44
AnyMemo,Monkey,2,30,39.32
AnyMemo,Monkey,2,35,39.39
AnyMemo,Monkey,2,40,39.03
AnyMemo,Monkey,2,45,40.15
AnyMemo,Monkey,2,50,40.11
AnyMemo,Monkey,2,55,38.74
AnyMemo,Monkey,2,60,38.43
AnyMemo,Monkey,3,0,0.15
AnyMemo,Monkey,3,5,23.86
AnyMemo,Monkey,3,10,31.5
AnyMemo,Monkey,3,15,37.64
AnyMemo,Monkey,3,20,43.65
AnyMemo,Monkey,3,25,45.43
AnyMemo,Monkey,3,30,46.69
AnyMemo,Monkey,3,35,47.38
AnyMemo,Monkey,3,40,47.0
AnyMemo,Monkey,3,45,49.75
AnyMemo,Monkey,3,50,45.21
AnyMemo,Monkey,3,55,46.42
AnyMemo,Monkey,3,60,47.54
AnyMemo,Monkey,4,0,0.0
AnyMemo,Monkey,4,5,25.5
AnyMemo,Monkey,4,10,42.39
AnyMemo,Monkey,4,15,47.69
AnyMemo,Monkey,4,20,52.27
AnyMemo,Monkey,4,25,52.37
AnyMemo,Monkey,4,30,54.62
AnyMemo,Monkey,4,35,55.68
AnyMemo,Monkey,4,40,56.15
AnyMemo,Monkey,4,45,58.76
AnyMemo,Monkey,4,50,57.79
AnyMemo,Monkey,4,55,55.36
AnyMemo,Monkey,4,60,57.43
AnyMemo,Monkey,5,0,0.75
AnyMemo,Monkey,5,5,18.99
AnyMemo,Monkey,5,10,29.13
AnyMemo,Monkey,5,15,30.44
AnyMemo,Monkey,5,20,33.6
AnyMemo,Monkey,5,25,34.5
AnyMemo,Monkey,5,30,36.89
AnyMemo,Monkey,5,35,38.42
AnyMemo,Monkey,5,40,39.46
AnyMemo,Monkey,5,45,38.0
AnyMemo,Monkey,5,50,37.72
AnyMemo,Monkey,5,55,38.47
AnyMemo,Monkey,5,60,37.01
AnyMemo,Monkey,6,0,3.13
AnyMemo,Monkey,6,5,14.86
AnyMemo,Monkey,6,10,27.03
AnyMemo,Monkey,6,15,35.0
AnyMemo,Monkey,6,20,34.83
AnyMemo,Monkey,6,25,36.1
AnyMemo,Monkey,6,30,36.71
AnyMemo,Monkey,6,35,37.45
AnyMemo,Monkey,6,40,40.03
AnyMemo,Monkey,6,45,34.8
AnyMemo,Monkey,6,50,40.5
AnyMemo,Monkey,6,55,36.1
AnyMemo,Monkey,6,60,37.86
AnyMemo,Monkey,7,0,0.0
AnyMemo,Monkey,7,5,26.92
AnyMemo,Monkey,7,10,37.92
AnyMemo,Monkey,7,15,48.86
AnyMemo,Monkey,7,20,55.5
AnyMemo,Monkey,7,25,52.78
AnyMemo,Monkey,7,30,56.41
AnyMemo,Monkey,7,35,55.84
AnyMemo,Monkey,7,40,57.86
AnyMemo,Monkey,7,45,57.47
AnyMemo,Monkey,7,50,56.59
AnyMemo,Monkey,7,55,58.35
AnyMemo,Monkey,7,60,60.36
AnyMemo,Monkey,8,0,0.0
AnyMemo,Monkey,8,5,23.19
AnyMemo,Monkey,8,10,32.31
AnyMemo,Monkey,8,15,39.47
AnyMemo,Monkey,8,20,45.27
AnyMemo,Monkey,8,25,48.8
AnyMemo,Monkey,8,30,48.2
AnyMemo,Monkey,8,35,47.81
AnyMemo,Monkey,8,40,48.61
AnyMemo,Monkey,8,45,46.91
AnyMemo,Monkey,8,50,49.8
AnyMemo,Monkey,8,55,50.27
AnyMemo,Monkey,8,60,48.3
AnyMemo,Monkey,9,0,0.0
AnyMemo,Monkey,9,5,16.54
AnyMemo,Monkey,9,10,24.35
AnyMemo,Monkey,9,15,29.77
AnyMemo,Monkey,9,20,35.68
AnyMemo,Monkey,9,25,33.63
AnyMemo,Monkey,9,30,34.26
AnyMemo,Monkey,9,35,34.27
AnyMemo,Monkey,9,40,36.6
AnyMemo,Monkey,9,45,35.35
AnyMemo,Monkey,9,50,34.72
AnyMemo,Monkey,9,55,37.71
AnyMemo,Monkey,9,60,37.88
AnyMemo,Monkey,10,0,0.0
AnyMemo,Monkey,10,5,18.23
AnyMemo,Monkey,10,10,34.08
AnyMemo,Monkey,10,15,37.88
AnyMemo,Monkey,10,20,43.57
AnyMemo,Monkey,10,25,41.33
AnyMemo,Monkey,10,30,46.68
AnyMemo,Monkey,10,35,44.09
AnyMemo,Monkey,10,40,47.32
AnyMemo,Monkey,10,45,46.42
AnyMemo,Monkey,10,50,45.06
AnyMemo,Monkey,10,55,45.94
AnyMemo,Monkey,10,60,47.6
AnyMemo,Dynodroid,1,0,0.16
AnyMemo,Dynodroid,1,5,15.33
AnyMemo,Dynodroid,1,10,27.11
AnyMemo,Dynodroid,1,15,28.29
AnyMemo,Dynodroid,1,20,37.41
AnyMemo,Dynodroid,1,25,38.06
AnyMemo,Dynodroid,1,30,38.51
AnyMemo,Dynodroid,1,35,39.18
AnyMemo,Dynodroid,1,40,41.77
AnyMemo,Dynodroid,1,45,44.02
AnyMemo,Dynodroid,1,50,42.85
AnyMemo,Dynodroid,1,55,45.57
AnyMemo,Dynodroid,1,60,41.3
AnyMemo,Dynodroid,2,0,0.0
AnyMemo,Dynodroid,2,5,12.57
AnyMemo,Dynodroid,2,10,24.68
AnyMemo,Dynodroid,2,15,31.95
AnyMemo,Dynodroid,2,20,34.34
AnyMemo,Dynodroid,2,25,33.98
AnyMemo,Dynodroid,2,30,40.14
AnyMemo,Dynodroid,2,35,41.81
AnyMemo,Dynodroid,2,40,42.64
AnyMemo,Dynodroid,2,45,44.48
AnyMemo,Dynodroid,2,50,41.41
AnyMemo,Dynodroid,2,55,44.3
AnyMemo,Dynodroid,2,60,45.25
AnyMemo,Dynodroid,3,0,0.0
AnyMemo,Dynodroid,3,5,17.12
AnyMemo,Dynodroid,3,10,27.04
AnyMemo,Dynodroid,3,15,35.15
AnyMemo,Dynodroid,3,20,40.8
AnyMemo,Dynodroid,3,25,42.91
AnyMemo,Dynodroid,3,30,44.88
AnyMemo,Dynodroid,3,35,47.45
AnyMemo,Dynodroid,3,40,46.78
